state,base_price_1980
Alabama,33900
Alaska,76300
Arizona,54800
Arkansas,31100
California,84500
Colorado,64100
Connecticut,65600
Delaware,44400
District of Columbia,68800
Florida,45100
Georgia,36900
Hawaii,118100
Idaho,45600
Illinois,52800
Indiana,37200
Iowa,40600
Kansas,37800
Kentucky,34200
Louisiana,43000
Maine,37900
Maryland,58300
Massachusetts,48400
Michigan,39000
Minnesota,53100
Mississippi,31400
Missouri,36700
Montana,46500
Nebraska,38000
Nevada,68700
New Hampshire,48000
New Jersey,60200
New Mexico,45300
New York,45600
North Carolina,36000
North Dakota,43900
Ohio,44900
Oklahoma,35600
Oregon,56900
Pennsylvania,39100
Rhode Island,46800
South Carolina,35100
South Dakota,36600
Tennessee,35600
Texas,39100
Utah,57300
Vermont,42200
Virginia,48000
Washington,59900
West Virginia,38500
Wisconsin,48600
Wyoming,59800
