"State","Year","X61.63","state_name","base_price_1980","avg_housing_prices"
"AK",1976,70.52,"Alaska",76300,53806.76
"AK",1977,78.71,"Alaska",76300,60055.73
"AK",1978,78.84,"Alaska",76300,60154.92
"AK",1979,88.91,"Alaska",76300,67838.33
"AK",1980,100,"Alaska",76300,76300
"AK",1981,89.31,"Alaska",76300,68143.53
"AK",1982,135.85,"Alaska",76300,103653.55
"AK",1983,138.09,"Alaska",76300,105362.67
"AK",1984,149.29,"Alaska",76300,113908.27
"AK",1985,143.99,"Alaska",76300,109864.37
"AK",1986,141.71,"Alaska",76300,108124.73
"AK",1987,132.91,"Alaska",76300,101410.33
"AK",1988,120.65,"Alaska",76300,92055.95
"AK",1989,127.93,"Alaska",76300,97610.59
"AK",1990,98.23,"Alaska",76300,74949.49
"AK",1991,123.62,"Alaska",76300,94322.06
"AK",1992,132.47,"Alaska",76300,101074.61
"AK",1993,134.72,"Alaska",76300,102791.36
"AK",1994,139.58,"Alaska",76300,106499.54
"AK",1995,145.88,"Alaska",76300,111306.44
"AK",1996,152.88,"Alaska",76300,116647.44
"AK",1997,157.64,"Alaska",76300,120279.32
"AK",1998,162.01,"Alaska",76300,123613.63
"AK",1999,167.87,"Alaska",76300,128084.81
"AK",2000,170.98,"Alaska",76300,130457.74
"AK",2001,178.01,"Alaska",76300,135821.63
"AK",2002,187.36,"Alaska",76300,142955.68
"AK",2003,194.87,"Alaska",76300,148685.81
"AK",2004,211.55,"Alaska",76300,161412.65
"AK",2005,235.84,"Alaska",76300,179945.92
"AK",2006,265.59,"Alaska",76300,202645.17
"AK",2007,282.63,"Alaska",76300,215646.69
"AK",2008,283.67,"Alaska",76300,216440.21
"AK",2009,283.88,"Alaska",76300,216600.44
"AK",2010,277.06,"Alaska",76300,211396.78
"AK",2011,281.48,"Alaska",76300,214769.24
"AK",2012,282.14,"Alaska",76300,215272.82
"AK",2013,289.77,"Alaska",76300,221094.51
"AK",2014,291.75,"Alaska",76300,222605.25
"AK",2015,303.53,"Alaska",76300,231593.39
"AK",2016,311.61,"Alaska",76300,237758.43
"AK",2017,315.34,"Alaska",76300,240604.42
"AK",2018,319.41,"Alaska",76300,243709.83
"AK",2019,324.2,"Alaska",76300,247364.6
"AK",2020,334.08,"Alaska",76300,254903.04
"AK",2021,348.06,"Alaska",76300,265569.78
"AK",2022,393,"Alaska",76300,299859
"AK",2023,425.83,"Alaska",76300,324908.29
"AK",2024,444.06,"Alaska",76300,338817.78
"AL",1975,75.11,"Alabama",33900,25462.29
"AL",1976,76.92,"Alabama",33900,26075.88
"AL",1977,81.11,"Alabama",33900,27496.29
"AL",1978,88.49,"Alabama",33900,29998.11
"AL",1979,99.37,"Alabama",33900,33686.43
"AL",1980,100,"Alabama",33900,33900
"AL",1981,105.27,"Alabama",33900,35686.53
"AL",1982,108.97,"Alabama",33900,36940.83
"AL",1983,114.72,"Alabama",33900,38890.08
"AL",1984,123.38,"Alabama",33900,41825.82
"AL",1985,121.17,"Alabama",33900,41076.63
"AL",1986,129.29,"Alabama",33900,43829.31
"AL",1987,137.85,"Alabama",33900,46731.15
"AL",1988,141.75,"Alabama",33900,48053.25
"AL",1989,141.27,"Alabama",33900,47890.53
"AL",1990,145.26,"Alabama",33900,49243.14
"AL",1991,148.49,"Alabama",33900,50338.11
"AL",1992,155.23,"Alabama",33900,52622.97
"AL",1993,160.76,"Alabama",33900,54497.64
"AL",1994,167.94,"Alabama",33900,56931.66
"AL",1995,172.4,"Alabama",33900,58443.6
"AL",1996,183.11,"Alabama",33900,62074.29
